"carat","cut","color","clarity","depth","table","price","x","y","z"
0.47,"Premium","H","VS1",61.8,58,1221,4.99,4.94,3.07
0.31,"Ideal","G","IF",61.9,56,924,4.36,4.39,2.71
0.71,"Good","E","SI1",58.4,61,2573,5.85,5.93,3.44
0.8,"Premium","G","SI2",61.4,56,2451,5.99,5.96,3.67
0.33,"Very Good","G","VS1",61,57,652,4.46,4.49,2.72
0.3,"Very Good","G","VVS2",62.9,55,638,4.28,4.31,2.7
1.22,"Ideal","F","VS2",62.6,56,8733,6.8,6.78,4.25
1.01,"Good","E","SI2",63.9,58,3546,6.31,6.37,4.05
0.32,"Ideal","G","VS1",61.2,56,828,4.44,4.42,2.71
0.32,"Premium","E","SI1",60.2,60,561,4.39,4.44,2.66
1.01,"Ideal","I","VS1",60.3,57,5231,6.51,6.53,3.93
0.52,"Ideal","E","SI2",61.8,57,1146,5.14,5.18,3.19
0.41,"Ideal","H","VVS2",62,56,961,4.78,4.74,2.95
1.7,"Premium","H","SI2",62.1,56,7673,7.66,7.55,4.72
0.33,"Premium","I","SI1",60.4,59,434,4.5,4.54,2.73
0.41,"Very Good","H","SI1",58.1,61,778,4.91,4.97,2.87
0.7,"Ideal","F","SI1",62.6,57,2453,5.59,5.62,3.51
0.97,"Very Good","I","VS2",62.2,55.9,4018,6.34,6.29,3.94
0.52,"Ideal","E","SI1",61.4,57,1330,5.15,5.18,3.17
0.94,"Premium","E","SI1",62,58,4661,6.24,6.27,3.88
0.41,"Ideal","E","VS1",61.4,57,1079,4.79,4.82,2.95
0.43,"Ideal","F","VS2",61.1,56,905,4.88,4.91,2.99
0.32,"Ideal","D","SI1",61.3,55,756,4.42,4.39,2.7
1.14,"Ideal","G","SI2",61.5,55,5675,6.78,6.71,4.15
1.65,"Ideal","J","SI1",62.5,56,8334,7.59,7.54,4.73
0.41,"Very Good","D","VS1",62.9,57,1151,4.73,4.75,2.98
0.31,"Good","F","VS1",56.7,60,814,4.57,4.5,2.57
0.45,"Good","E","SI1",63.9,57,1063,4.86,4.81,3.09
0.35,"Very Good","I","VS2",62.9,57,491,4.5,4.53,2.84
0.4,"Good","G","SI1",63.4,58,655,4.66,4.71,2.97
0.3,"Ideal","G","SI1",62,55,545,4.28,4.3,2.66
0.38,"Ideal","E","VS1",62.2,54.1,1133,4.63,4.65,2.89
1.02,"Premium","E","SI2",58.7,58,4990,6.68,6.61,3.9
0.26,"Ideal","I","VS1",61.6,54,578,4.08,4.12,2.53
0.41,"Premium","D","VVS1",61.6,58,1582,4.78,4.74,2.93
0.31,"Ideal","H","VVS2",61.5,56,625,4.35,4.37,2.68
0.75,"Very Good","G","SI1",60.9,58,2545,5.84,5.88,3.57
0.5,"Fair","E","SI1",65,58,1176,4.98,4.9,3.21
0.23,"Very Good","E","VVS2",62.4,59,530,3.91,3.94,2.45
0.3,"Ideal","F","VVS1",61.9,57,995,4.32,4.3,2.67
0.9,"Very Good","G","SI2",63.1,59,3353,6.11,6.16,3.87
0.3,"Ideal","F","VVS1",61.5,58,814,4.3,4.32,2.65
0.34,"Very Good","G","VS1",62.2,55,640,4.48,4.52,2.8
1.2,"Very Good","H","VS1",63.1,57,5853,6.69,6.65,4.2
0.4,"Ideal","J","VS2",62.9,57,765,4.75,4.7,2.97
0.41,"Good","F","I1",63.8,57,503,4.69,4.72,3
1.52,"Very Good","G","VS2",63.4,58,11986,7.31,7.24,4.61
1.01,"Very Good","I","SI1",60.1,59,5712,6.44,6.47,3.88
0.31,"Premium","D","VS2",60.7,59,942,4.38,4.35,2.65
0.3,"Premium","G","VVS2",60.6,58,878,4.36,4.35,2.64
0.78,"Very Good","H","SI2",63.1,56,2348,5.84,5.88,3.7
1.25,"Premium","H","SI2",60.4,59,5950,7.02,6.95,4.22
0.71,"Ideal","I","SI1",62.6,54,2111,5.68,5.73,3.57
1,"Premium","E","SI1",61.2,58,5040,6.39,6.35,3.9
1.23,"Very Good","F","SI2",61.9,58,6233,6.77,6.79,4.2
0.56,"Ideal","G","SI1",63,55,1287,5.26,5.22,3.3
0.34,"Ideal","G","VS2",61.6,56,573,4.48,4.51,2.77
1.04,"Premium","F","VVS2",62.5,58,8946,6.46,6.37,4.01
0.39,"Good","E","VS1",57.8,58,1082,4.86,4.9,2.82
1,"Very Good","E","SI2",60.6,60,4576,6.33,6.4,3.86
0.3,"Premium","F","VS2",61.4,60,605,4.29,4.34,2.65
1.29,"Ideal","D","I1",61.3,56,5158,7.05,6.99,4.3
0.51,"Ideal","E","VS2",61.4,57,1781,5.16,5.13,3.16
1.03,"Very Good","H","SI2",61.3,56,4745,6.5,6.53,3.99
0.73,"Very Good","I","VVS1",61.9,57,2623,5.75,5.79,3.57
1.23,"Very Good","G","VVS1",61.2,55.8,11081,6.9,6.94,4.23
0.56,"Ideal","E","VS2",61.7,54,1915,5.35,5.28,3.28
0.81,"Premium","F","SI1",61.3,60,2926,6,5.94,3.66
0.91,"Premium","D","VS2",62.7,59,4637,6.16,6.13,3.85
0.91,"Good","H","VS2",59.9,61,4309,6.18,6.24,3.72
0.23,"Very Good","E","VS2",62.4,60,400,3.9,3.92,2.44
0.41,"Ideal","E","SI1",62.6,57,755,4.72,4.73,2.96
0.8,"Premium","H","VS2",61.2,53,2867,6.05,5.98,3.68
2.14,"Premium","I","SI1",59.5,59,15499,8.42,8.36,4.99
1.52,"Premium","D","SI1",59.2,61,12823,7.59,7.55,4.48
1.28,"Very Good","D","SI2",61.2,58,6811,6.96,7.09,4.3
0.71,"Fair","H","SI1",65.1,55,2049,5.69,5.65,3.69
0.91,"Fair","H","VVS1",56.5,67,4115,6.38,6.4,3.61
0.51,"Good","E","SI1",63.5,54,1343,5.07,5.1,3.23
1.2,"Good","D","I1",63.6,60,4346,6.72,6.67,4.26
1.4,"Premium","I","VS1",61.6,59,7722,7.22,7.17,4.43
0.34,"Ideal","G","IF",60.1,57,1084,4.58,4.54,2.74
1.5,"Good","H","SI2",64,61,5208,7.18,7.14,4.58
1.22,"Very Good","G","SI1",61.8,58,6656,6.82,6.88,4.23
0.9,"Fair","E","SI2",64.5,57,3342,6.13,6.09,3.94
1,"Good","E","VS2",62.4,58,6248,6.33,6.4,3.97
0.51,"Premium","G","VS2",61.3,59,1343,5.11,5.17,3.15
1.08,"Ideal","G","VS2",61.3,56,6706,6.62,6.59,4.05
0.32,"Ideal","H","VS2",61.3,56,523,4.42,4.45,2.72
0.7,"Very Good","H","VVS1",63.5,58,2682,5.63,5.59,3.56
0.36,"Premium","E","VVS2",61.7,59,859,4.52,4.56,2.8
0.53,"Ideal","D","VS2",61.6,56,2266,5.2,5.22,3.21
0.54,"Ideal","H","VVS1",61.2,57,1814,5.25,5.21,3.2
0.74,"Very Good","G","VVS2",61.3,56,3413,5.85,5.9,3.6
1,"Good","G","VVS1",63.8,60,7134,6.35,6.31,4.04
0.7,"Fair","E","VS2",65.6,61,2352,5.62,5.47,3.64
2.22,"Very Good","J","SI2",62.8,57,13579,8.29,8.33,5.22
1.52,"Ideal","G","SI1",60.7,57,9704,7.41,7.38,4.49
0.31,"Ideal","D","VVS2",60.1,56,777,4.43,4.46,2.67
1.21,"Premium","I","SI1",61.6,58,5353,6.89,6.84,4.23
0.7,"Very Good","F","SI1",58.4,63,2058,5.77,5.84,3.39
0.41,"Good","D","VS1",60.2,62,986,4.8,4.84,2.9
0.51,"Very Good","G","VVS2",61.7,58,1875,5.13,5.18,3.18
1.2,"Ideal","G","VS1",62,57,8701,6.81,6.78,4.21
0.41,"Ideal","I","VVS1",61.3,56,863,4.8,4.85,2.96
1.02,"Very Good","H","SI2",63.5,58,4004,6.34,6.38,4.04
0.72,"Ideal","F","VS2",61.8,56,3564,5.72,5.74,3.54
1.21,"Ideal","J","VS2",62.6,54.2,5275,6.79,6.81,4.26
0.61,"Good","G","VS2",61.2,62.8,1821,5.38,5.42,3.3
0.39,"Premium","E","VS1",59.6,60,1026,4.72,4.75,2.82
0.42,"Premium","G","SI1",62.7,58,687,4.75,4.79,2.99
0.75,"Ideal","F","SI1",62.3,57,2744,5.82,5.77,3.61
0.36,"Ideal","H","VS2",62,55,599,4.58,4.63,2.86
0.33,"Ideal","F","VVS1",61.8,57,955,4.44,4.46,2.75
0.71,"Very Good","E","VS1",61.6,59,3464,5.65,5.72,3.5
2.06,"Ideal","H","SI2",61.5,56,12119,8.23,8.18,5.04
1.5,"Ideal","G","SI2",60.5,57,10543,7.4,7.43,4.49
0.32,"Premium","F","VS2",60.7,58,828,4.45,4.41,2.69
1.5,"Good","H","SI1",60.8,60,9336,7.28,7.38,4.46
0.55,"Ideal","E","SI1",61.7,56,1668,5.29,5.24,3.25
0.54,"Ideal","I","SI1",61.4,56,1114,5.25,5.27,3.23
0.34,"Ideal","E","VS1",61.2,57,805,4.45,4.5,2.74
0.56,"Ideal","F","SI1",61.1,56,1811,5.35,5.33,3.26
1.19,"Premium","I","VS2",61.7,57,5439,6.84,6.77,4.2
0.7,"Good","I","SI1",62.8,59,1790,5.59,5.65,3.53
0.53,"Ideal","E","VS2",61.8,56,1801,5.21,5.17,3.21
1.21,"Premium","I","SI1",60.6,56,5556,6.97,6.89,4.2
0.46,"Premium","E","VS2",61.5,60,1173,4.95,4.91,3.03
1.53,"Premium","I","VS1",62.4,59,10924,7.34,7.3,4.57
0.31,"Ideal","H","VS2",62.2,53,489,4.38,4.43,2.74
2.06,"Ideal","I","SI2",63.3,54,14505,8.09,8.14,5.13
0.42,"Very Good","E","VVS2",62.1,56,1167,4.79,4.82,2.98
0.79,"Ideal","G","SI1",62.6,55,2871,5.91,5.95,3.71
2.08,"Very Good","D","SI2",60.1,59,18405,8.29,8.37,5.01
0.33,"Ideal","G","VS1",61.9,55,666,4.41,4.44,2.74
0.32,"Ideal","I","VS1",62.4,54,648,4.39,4.36,2.73
2.16,"Premium","H","SI2",62.3,57,11473,8.29,8.22,5.14
0.56,"Ideal","D","SI1",62.5,56,1729,5.28,5.24,3.29
1.09,"Ideal","F","VS2",60.9,54,7520,6.73,6.66,4.08
0.26,"Ideal","E","VS1",61.5,57,556,4.09,4.12,2.52
0.71,"Very Good","E","SI1",62,59,2573,5.69,5.76,3.55
0.42,"Premium","G","SI1",60.6,62,882,4.85,4.82,2.93
0.67,"Premium","H","VVS2",60.6,61,2171,5.65,5.61,3.41
0.93,"Ideal","G","IF",62.2,58,5879,6.25,6.22,3.88
1.5,"Ideal","I","I1",61.8,57,5412,7.31,7.39,4.54
0.7,"Ideal","G","SI1",60.9,56,2965,5.73,5.79,3.51
1.02,"Good","G","VS2",63.6,57,5922,6.41,6.38,4.07
0.32,"Ideal","F","SI1",60.9,55,586,4.46,4.53,2.72
1.51,"Premium","F","SI1",62.2,58,11374,7.32,7.27,4.54
0.52,"Ideal","D","SI1",62.2,57,1720,5.16,5.13,3.2
1.01,"Ideal","F","VVS1",60.5,60,10197,6.45,6.47,3.91
0.52,"Ideal","G","VVS2",62.1,57,1932,5.15,5.13,3.19
0.72,"Ideal","G","SI2",62.5,57,2079,5.71,5.75,3.58
0.77,"Very Good","H","SI2",63.6,58,2129,5.77,5.81,3.68
0.33,"Ideal","D","VVS1",61,55,1176,4.52,4.47,2.74
0.7,"Good","F","SI1",64.3,62,1878,5.55,5.49,3.55
0.71,"Ideal","H","SI2",62.6,56,2376,5.65,5.75,3.57
1.01,"Premium","H","SI2",59.6,60,3665,6.5,6.55,3.89
0.83,"Ideal","F","SI1",61.7,57,3500,6.04,6.08,3.74
0.32,"Ideal","D","VS2",59.8,57,907,4.51,4.46,2.68
1.51,"Ideal","G","VS1",61.6,56,14674,7.37,7.34,4.53
0.61,"Premium","D","SI1",62.3,58,1877,5.4,5.45,3.38
0.78,"Ideal","G","SI2",61.9,55,2240,5.91,5.94,3.67
0.33,"Ideal","G","VS2",62.6,57,579,4.45,4.47,2.79
0.55,"Ideal","F","VS1",61.6,57,1980,5.29,5.23,3.24
0.7,"Premium","G","SI1",61.8,59,2184,5.68,5.59,3.48
0.54,"Ideal","I","VS2",61.5,55,1259,5.25,5.29,3.24
0.82,"Very Good","D","SI1",63.1,58,2954,5.97,5.95,3.76
0.3,"Premium","H","VS1",62.1,59,491,4.25,4.28,2.65
0.3,"Premium","I","VS1",62,58,608,4.3,4.25,2.65
1.24,"Ideal","H","VS1",63,55,5055,6.84,6.81,4.3
0.46,"Ideal","F","VS1",62.7,56,1418,4.91,4.94,3.09
0.3,"Premium","H","VS2",62.5,59,608,4.28,4.23,2.66
0.75,"Very Good","E","SI1",63.4,57,2698,5.77,5.75,3.65
0.56,"Ideal","E","VS1",61.1,56,2117,5.34,5.29,3.25
0.72,"Ideal","G","SI2",61.3,56,2451,5.76,5.81,3.55
1,"Very Good","G","VS2",62.7,59,6208,6.32,6.38,3.98
0.81,"Ideal","J","SI1",62,56,2307,6,6.03,3.73
1.29,"Ideal","F","SI2",61.7,54,6509,7.08,6.99,4.34
1.07,"Ideal","D","VVS2",61.3,58,10266,6.55,6.64,4.04
1.06,"Premium","F","VS2",61.2,57,5942,6.64,6.49,4.02
0.33,"Ideal","D","VS2",61.8,56,1002,4.44,4.4,2.73
2.02,"Ideal","I","SI1",62.3,57,15785,8.07,8.11,5.04
0.93,"Good","F","SI2",61.3,62,3376,6.17,6.26,3.81
0.5,"Premium","D","VS2",62.1,58,1752,5.03,5.08,3.14
1.21,"Ideal","G","VS2",62,56,7666,6.77,6.87,4.23
0.32,"Ideal","H","VVS2",61.8,55,828,4.42,4.38,2.72
0.5,"Very Good","F","VS2",62.8,56,1436,5.05,5.07,3.18
0.33,"Very Good","E","VVS2",60.1,63,981,4.45,4.5,2.69
1.03,"Very Good","F","IF",62.8,57,10032,6.4,6.47,4.04
1.24,"Premium","G","VS1",62,59,7800,6.92,6.88,4.28
0.32,"Ideal","G","VVS2",61.3,55,698,4.4,4.44,2.71
0.5,"Ideal","E","VS2",61.3,57,1746,5.15,5.13,3.15
1.09,"Ideal","D","VVS2",61.3,57,12185,6.61,6.66,4.07
0.51,"Ideal","F","SI1",62.9,56,1406,5.1,5.05,3.19
0.53,"Very Good","E","SI2",63,57,1174,5.13,5.16,3.24
0.3,"Ideal","E","VVS1",61.8,56,956,4.31,4.3,2.66
0.25,"Premium","E","VVS1",60.7,60,740,4.11,4.09,2.49
0.7,"Ideal","I","SI1",62.8,56,2417,5.63,5.68,3.55
1.56,"Premium","H","SI1",61.9,59,10990,7.46,7.4,4.6
1.25,"Ideal","F","VVS2",61.8,57,13623,6.9,6.95,4.28
0.9,"Fair","E","SI2",64.5,55,3084,6.12,6.03,3.92
0.32,"Ideal","F","VS2",61.1,57,645,4.44,4.47,2.72
0.71,"Ideal","F","VS2",61.8,56.2,3123,5.7,5.75,3.53
0.38,"Ideal","F","VVS1",61,57,1070,4.66,4.69,2.85
0.33,"Ideal","I","VVS2",62.4,57,579,4.41,4.44,2.76
0.7,"Premium","F","SI2",60.3,58,1806,5.79,5.76,3.48
2.6,"Ideal","J","SI2",62.5,56,18369,8.81,8.76,5.49
1.01,"Good","F","VS2",63.1,56,5560,6.28,6.37,3.99
0.5,"Good","G","VVS2",63.9,58,1715,5,5.05,3.21
1.03,"Premium","J","SI2",62.2,59,3149,6.42,6.4,3.99
1.13,"Ideal","E","SI2",62.4,56,4303,6.66,6.63,4.15
0.81,"Premium","E","SI2",59.9,61,2559,6.08,6.05,3.63
0.33,"Very Good","E","VS2",60.6,58,675,4.45,4.49,2.71
2.07,"Ideal","J","VVS2",62.7,54,16769,8.17,8.12,5.11
0.71,"Very Good","F","VS2",63.2,59,2319,5.66,5.6,3.56
1.7,"Very Good","F","I1",63.1,56,5998,7.62,7.51,4.78
0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51
0.9,"Very Good","D","SI1",62.5,59,4579,6.11,6.15,3.83
0.3,"Ideal","G","IF",62.1,55,956,4.35,4.31,2.69
2.01,"Very Good","J","SI1",59.3,62,12257,8.15,8.2,4.85
0.52,"Ideal","G","VVS2",61.2,55,1878,5.22,5.2,3.19
1.51,"Fair","D","SI2",64.7,57,9555,7.17,7.24,4.66
1.51,"Very Good","G","VS1",59.5,59,14028,7.41,7.45,4.42
0.34,"Ideal","E","VS1",62.4,54,827,4.45,4.49,2.79
0.3,"Very Good","G","VS2",60.6,61,526,4.29,4.32,2.61
2.2,"Premium","I","VS2",62,57,18364,8.38,8.34,5.18
0.9,"Very Good","G","VS2",60.5,60,4296,6.2,6.24,3.76
0.77,"Ideal","E","SI2",62.4,56,2677,5.83,5.86,3.65
0.9,"Premium","F","SI1",62.8,59,3992,6.16,6.13,3.86
0.36,"Ideal","H","SI1",61.5,57,648,4.6,4.57,2.82
0.9,"Good","H","SI1",63.8,58,3357,6.05,6.12,3.88
1,"Fair","D","SI1",66.3,58,4704,6.15,6.04,4.04
0.32,"Ideal","H","VVS1",62.7,55,692,4.37,4.4,2.75
0.41,"Ideal","I","VVS2",62.3,56,827,4.73,4.77,2.96
1.02,"Ideal","G","VS2",62.6,57,5816,6.41,6.43,4.02
1.5,"Very Good","D","SI1",63.1,57,11863,7.31,7.24,4.59
0.29,"Ideal","G","VS2",60.7,55,525,4.31,4.35,2.63
0.59,"Very Good","H","SI2",60.3,56,1160,5.43,5.48,3.29
1.56,"Ideal","I","VS1",61.2,59,10399,7.43,7.5,4.57
0.3,"Good","G","VVS2",63.1,56,684,4.2,4.23,2.66
0.72,"Ideal","F","VS2",60.3,56,2724,5.84,5.81,3.51
1.01,"Very Good","D","SI2",59.1,63,3671,6.59,6.54,3.88
1.01,"Very Good","H","SI1",61.2,60,5433,6.41,6.44,3.93
0.5,"Good","F","VS2",57.8,63,1279,5.2,5.15,2.99
0.54,"Ideal","I","VS1",61.2,58,1304,5.24,5.29,3.22
0.55,"Premium","G","SI1",62.1,56,1321,5.28,5.22,3.26
1.03,"Ideal","G","VS1",62.4,56,7391,6.44,6.47,4.03
0.9,"Good","G","SI2",63.4,59,3303,6.04,6.08,3.84
0.45,"Ideal","I","VS2",61.7,59,1013,4.96,4.91,3.04
0.34,"Ideal","E","SI2",61.4,55,454,4.5,4.52,2.77
0.7,"Very Good","I","VS1",63.3,55,1995,5.64,5.6,3.56
0.23,"Very Good","E","VVS2",61.4,62,505,3.9,3.95,2.41
0.3,"Very Good","H","SI1",59.4,63,540,4.4,4.35,2.6
1.2,"Very Good","D","SI2",63.2,60,5174,6.65,6.54,4.17
1.2,"Premium","F","VVS2",60.5,60,10064,6.98,6.87,4.19
0.53,"Ideal","E","VVS2",62,58,2230,5.16,5.2,3.21
0.32,"Premium","E","VS2",61.6,59,768,4.43,4.4,2.72
1.19,"Ideal","H","SI2",62,57,4914,6.77,6.81,4.21
0.54,"Very Good","F","VS2",59.5,58,1662,5.29,5.36,3.17
1.83,"Premium","G","I1",62,58,6313,7.84,7.8,4.85
0.51,"Premium","F","SI1",61.3,59,1421,5.19,5.15,3.17
1.27,"Ideal","I","SI2",62.1,56,5154,6.92,6.96,4.31
0.35,"Ideal","F","VS2",61.4,55,706,4.55,4.6,2.81
0.33,"Ideal","E","VVS2",60.7,55,898,4.49,4.5,2.73
0.53,"Ideal","H","VS2",61.7,56,1435,5.17,5.21,3.2
1.09,"Ideal","D","SI1",61.9,57,6133,6.57,6.61,4.08
1.07,"Good","F","I1",64.3,59,3354,6.37,6.42,4.11
0.41,"Ideal","E","SI1",62.9,56,969,4.76,4.72,2.98
0.43,"Ideal","H","VVS1",61.5,56,1298,4.86,4.89,3
0.99,"Very Good","F","SI2",61.2,56,4852,6.4,6.45,3.93
0.54,"Very Good","D","VS1",59.9,57,1988,5.38,5.3,3.2
2.12,"Very Good","H","SI2",62.3,59,16151,8.15,8.19,5.09
0.79,"Ideal","H","VVS2",62,55.9,3324,5.88,5.95,3.67
1.05,"Ideal","F","VVS1",61.4,57,12273,6.51,6.53,4
1.53,"Very Good","G","SI2",61.1,58,8095,7.38,7.41,4.52
0.7,"Fair","H","SI1",65.5,57,2048,5.53,5.59,3.64
0.3,"Ideal","E","VS2",61.5,55,844,4.31,4.28,2.64
2,"Good","D","SI2",63.8,57,10528,7.93,7.88,5.04
0.73,"Ideal","I","VS1",61.5,55,2908,5.8,5.84,3.58
0.9,"Ideal","G","VS1",61.6,55,4460,6.27,6.23,3.85
1.02,"Ideal","I","SI2",62.9,56,3521,6.45,6.37,4.03
0.4,"Ideal","E","VS1",61.6,56,1053,4.73,4.78,2.93
0.57,"Premium","G","VS2",62.8,57,1728,5.28,5.23,3.3
0.5,"Ideal","E","VS2",60.8,57,1768,5.16,5.13,3.13
0.28,"Very Good","E","VS1",61.4,60,452,4.16,4.24,2.58
1.01,"Very Good","D","SI1",61.4,59,6270,6.37,6.43,3.93
1.5,"Good","G","VS1",63.6,57,10036,7.23,7.14,4.57
0.26,"Ideal","D","VVS2",62.5,56,769,4.11,4.08,2.56
0.4,"Very Good","D","SI1",62.5,61,720,4.66,4.69,2.92
1.02,"Very Good","I","SI2",62.6,56,4084,6.41,6.44,4.02
0.41,"Premium","E","VVS1",62.9,59,1431,4.76,4.72,2.98
0.72,"Premium","D","SI1",60.5,57,3048,5.89,5.85,3.55
0.3,"Good","J","VS1",63.5,58,394,4.24,4.27,2.7
1.4,"Ideal","H","VS2",63,56,8977,7.13,7.07,4.47
0.27,"Very Good","E","VVS2",60.9,58,620,4.14,4.17,2.53
0.3,"Ideal","E","VS1",61.3,58,694,4.29,4.32,2.64
2.01,"Good","I","SI2",56.9,59,11312,8.41,8.3,4.74
0.35,"Premium","E","IF",59,61,1148,4.64,4.62,2.73
0.5,"Premium","E","SI2",60.1,60,1262,5.13,5.05,3.06
0.71,"Very Good","I","VS1",59,57,2328,5.85,5.88,3.46
0.71,"Very Good","E","SI1",63.5,57,2685,5.63,5.68,3.59
0.74,"Ideal","F","VVS2",61.5,54,3101,5.84,5.86,3.6
0.35,"Ideal","D","VS2",60.7,56,1063,4.6,4.56,2.78
0.31,"Ideal","G","IF",61.6,55,988,4.39,4.34,2.69
0.3,"Good","I","SI1",63.8,57,506,4.27,4.19,2.7
1.02,"Very Good","F","SI2",60.3,59,4241,6.5,6.53,3.93
2.04,"Premium","H","SI1",62.2,60,12341,8.07,8,5
0.55,"Premium","G","VS1",62,57,1881,5.3,5.25,3.27
1.71,"Very Good","F","SI1",63.3,53,13152,7.54,7.59,4.79
0.57,"Ideal","E","VS2",60.8,56,1728,5.35,5.4,3.27
0.36,"Premium","E","SI2",61.5,61,518,4.63,4.57,2.83
0.5,"Very Good","F","SI2",62.2,54,997,5.08,5.14,3.18
1.16,"Ideal","G","IF",59.9,57,10368,6.85,6.93,4.13
0.3,"Premium","I","VS1",60.3,58,608,4.34,4.32,2.61
0.39,"Very Good","I","VS2",62.9,57,650,4.64,4.68,2.93
0.9,"Premium","I","VS2",63,59,3292,6.1,6.06,3.83
1.51,"Ideal","I","SI1",61.1,59,8342,7.4,7.37,4.51
0.34,"Ideal","G","VVS1",62.1,53,863,4.49,4.53,2.8
0.56,"Ideal","F","VVS2",61,56,2119,5.33,5.35,3.26
0.46,"Ideal","F","SI1",61.6,54,983,4.97,5,3.07
0.38,"Premium","H","VVS2",62,58,1069,4.64,4.62,2.87
1.01,"Ideal","E","SI2",62.2,56,4788,6.42,6.45,4
0.32,"Premium","H","VS2",59.5,58,505,4.47,4.5,2.67
1.06,"Ideal","G","SI2",62.1,58,4987,6.49,6.53,4.04
0.32,"Very Good","I","VS1",59.8,60,505,4.44,4.46,2.66
1.28,"Ideal","H","VS2",62.3,56,7098,6.97,6.89,4.32
2.03,"Premium","H","VS2",62.1,56,18139,8.2,8.12,5.07
1.52,"Premium","G","SI1",61.6,57,9952,7.4,7.33,4.54
0.67,"Ideal","G","SI1",60.4,57,1662,5.67,5.65,3.42
0.3,"Ideal","F","VS2",62.3,58,569,4.26,4.23,2.64
0.5,"Premium","E","SI1",59.3,59,1410,5.19,5.24,3.09
0.55,"Good","E","SI1",63.3,54,1138,5.21,5.24,3.31
0.57,"Premium","G","VS2",62.1,57,1728,5.3,5.27,3.28
1.51,"Premium","F","SI2",62.7,58,6393,7.33,7.29,4.58
0.78,"Ideal","E","SI2",61,56,3053,5.92,5.98,3.63
1.01,"Ideal","I","SI1",60.2,59,4241,6.54,6.49,3.92
1.09,"Premium","E","SI2",59.4,60,4444,6.81,6.7,4.01
0.9,"Very Good","F","SI1",63.1,58,3624,6.09,6.15,3.86
0.43,"Very Good","I","VVS2",62.8,58,850,4.8,4.82,3.02
1.01,"Good","F","SI2",63.9,54,4416,6.33,6.44,4.08
0.32,"Very Good","F","VS2",61.1,58,645,4.39,4.42,2.69
0.74,"Premium","E","VS1",60,57,3133,5.94,5.89,3.55
0.71,"Premium","H","SI1",62.4,62,2207,5.67,5.64,3.53
0.33,"Ideal","F","SI2",61.4,55,416,4.46,4.5,2.75
0.7,"Good","I","VS2",57.1,61,2010,5.9,5.93,3.38
0.9,"Premium","F","VS1",59,58,4687,6.33,6.29,3.72
0.61,"Premium","F","SI1",62.4,59,1547,5.37,5.33,3.34
0.8,"Very Good","F","VS1",63.6,57,3559,5.82,5.91,3.73
0.32,"Very Good","F","VVS1",61.5,56,886,4.38,4.4,2.7
0.34,"Ideal","G","VVS2",61.9,57,775,4.44,4.48,2.76
2.15,"Ideal","I","SI2",61.7,55,14388,8.24,8.43,5.14
0.41,"Premium","E","SI1",61,59,755,4.78,4.82,2.93
1.02,"Ideal","F","VS1",61,56,8157,6.52,6.49,3.97
0.42,"Ideal","D","VS2",61.2,56,1031,4.8,4.84,2.95
0.4,"Ideal","E","VS2",62.9,55,975,4.74,4.73,2.98
0.31,"Premium","G","SI1",62.4,55,593,4.34,4.31,2.7
0.39,"Good","I","VS2",62.3,61,648,4.6,4.61,2.87
0.3,"Very Good","H","SI1",62.9,57,421,4.26,4.29,2.69
2.4,"Premium","J","SI1",59.7,58,16304,8.75,8.71,5.21
0.38,"Ideal","E","IF",62.2,54.1,1402,4.64,4.67,2.89
1.02,"Premium","H","I1",62.5,60,3199,6.41,6.39,4
1.02,"Good","E","SI1",63.2,61,5183,6.31,6.37,4.01
0.52,"Good","F","VS2",63.6,56,1605,5.12,5.07,3.24
0.27,"Ideal","I","VS1",61.3,57,432,4.16,4.19,2.56
0.34,"Premium","G","VS2",60.2,58,765,4.56,4.51,2.73
0.54,"Ideal","G","VVS2",61,56,1985,5.25,5.3,3.22
0.3,"Ideal","D","VS1",61,58,601,4.3,4.36,2.64
1.02,"Premium","H","VS2",62.4,58,5356,6.39,6.43,4
0.41,"Premium","G","SI1",62.7,58,719,4.7,4.74,2.96
1.41,"Premium","I","SI2",62.9,59,6751,7.14,7.08,4.47
1.16,"Ideal","F","VVS2",60.5,57,11120,6.8,6.86,4.13
0.51,"Very Good","G","SI1",63.1,56,1261,5.08,5.16,3.23
0.32,"Good","D","SI1",63.3,57,589,4.36,4.39,2.77
1,"Premium","E","SI1",59.1,58,4805,6.52,6.44,3.83
0.3,"Ideal","E","VVS2",61.8,56,789,4.31,4.33,2.67
0.76,"Premium","J","VS1",61.1,58,2148,5.85,5.91,3.59
0.24,"Very Good","E","VVS1",60.3,61,521,4.03,4.06,2.44
0.32,"Ideal","F","VS2",61.3,56,828,4.43,4.41,2.71
0.5,"Ideal","H","SI1",62.1,58,1140,5.04,5.07,3.14
0.51,"Ideal","E","SI1",62.8,56,1546,5.15,5.07,3.21
0.57,"Ideal","F","VS2",61.3,57,1612,5.35,5.39,3.29
0.32,"Very Good","I","VVS1",60.9,57,596,4.45,4.48,2.71
0.28,"Very Good","E","VS2",63.7,58,487,4.12,4.14,2.63
0.34,"Ideal","D","SI1",62,56,626,4.47,4.5,2.78
0.32,"Premium","H","VVS1",61.4,58,730,4.37,4.42,2.7
